,Accession,Genotype,Segment,Length,Collection_Date,season,Latent
569,OQ764373,H1,8,838,2022-12-25,2022/23,"[3.8922176361083984, 19.541696548461914]"
570,OQ764372,H1,7,982,2022-12-25,2022/23,"[-1.041310429573059, 26.515764236450195]"
571,OQ764371,H1,5,1497,2022-12-25,2022/23,"[32.976566314697266, 34.174461364746094]"
572,OQ764370,H1,4,1701,2022-12-25,2022/23,"[60.976741790771484, 38.30118942260742]"
573,OQ764369,H1,3,2151,2022-12-25,2022/23,"[90.78276824951172, 28.114694595336914]"
574,OQ764368,H1,2,2274,2022-12-25,2022/23,"[82.55476379394531, 18.894824981689453]"
575,OQ764367,H1,1,2280,2022-12-25,2022/23,"[30.863067626953125, -12.676559448242188]"
576,OQ764366,H3,6,1410,2022-12-20,2022/23,"[10.37656021118164, 9.150592803955078]"
577,OQ764365,H3,8,838,2022-12-20,2022/23,"[6.437455654144287, 18.147375106811523]"
578,OQ764364,H3,7,982,2022-12-20,2022/23,"[-5.216057300567627, 19.613292694091797]"
579,OQ764363,H3,5,1497,2022-12-20,2022/23,"[42.56806945800781, 37.28730010986328]"
580,OQ764362,H3,4,1701,2022-12-20,2022/23,"[36.9051399230957, 16.529354095458984]"
581,OQ764361,H3,3,2151,2022-12-20,2022/23,"[89.7304916381836, 34.133182525634766]"
582,OQ764360,H3,2,2274,2022-12-20,2022/23,"[62.89070129394531, 11.453219413757324]"
583,OQ764359,H3,1,2280,2022-12-20,2022/23,"[21.387500762939453, -12.141584396362305]"
584,OQ764358,H1,6,1410,2023-01-01,2022/23,"[16.815906524658203, 20.58205223083496]"
585,OQ764357,H1,8,838,2023-01-01,2022/23,"[3.7499442100524902, 19.34853744506836]"
586,OQ764356,H1,7,982,2023-01-01,2022/23,"[-1.041310429573059, 26.515764236450195]"
587,OQ764355,H1,5,1497,2023-01-01,2022/23,"[32.94624710083008, 34.208255767822266]"
588,OQ764354,H1,4,1701,2023-01-01,2022/23,"[61.339359283447266, 38.5844612121582]"
589,OQ764353,H1,3,2151,2023-01-01,2022/23,"[91.3333969116211, 28.307403564453125]"
590,OQ764352,H1,2,2274,2023-01-01,2022/23,"[83.415283203125, 19.310749053955078]"
591,OQ764351,H1,1,2280,2023-01-01,2022/23,"[31.641029357910156, -12.771913528442383]"
592,OQ764350,H1,6,1410,2022-12-31,2022/23,"[16.815906524658203, 20.58205223083496]"
593,OQ764349,H1,8,838,2022-12-31,2022/23,"[3.7499442100524902, 19.34853744506836]"
594,OQ764348,H1,7,982,2022-12-31,2022/23,"[-1.041310429573059, 26.515764236450195]"
595,OQ764347,H1,5,1497,2022-12-31,2022/23,"[33.05643081665039, 34.305294036865234]"
596,OQ764346,H1,4,1701,2022-12-31,2022/23,"[61.339359283447266, 38.5844612121582]"
597,OQ764345,H1,3,2151,2022-12-31,2022/23,"[91.30018615722656, 28.302209854125977]"
598,OQ764344,H1,2,2274,2022-12-31,2022/23,"[83.41285705566406, 19.309085845947266]"
599,OQ764343,H1,1,2280,2022-12-31,2022/23,"[31.641029357910156, -12.771913528442383]"
600,OQ764342,H1,6,1410,2022-12-24,2022/23,"[16.619638442993164, 20.390247344970703]"
601,OQ764341,H1,8,838,2022-12-24,2022/23,"[3.935107707977295, 19.60085678100586]"
602,OQ764340,H1,7,982,2022-12-24,2022/23,"[-1.041310429573059, 26.515764236450195]"
603,OQ764339,H1,5,1497,2022-12-24,2022/23,"[32.96422576904297, 34.17352294921875]"
604,OQ764338,H1,4,1701,2022-12-24,2022/23,"[61.048072814941406, 38.354610443115234]"
605,OQ764337,H1,3,2151,2022-12-24,2022/23,"[91.0425796508789, 28.29838752746582]"
606,OQ764336,H1,2,2274,2022-12-24,2022/23,"[82.5439224243164, 18.8795166015625]"
607,OQ764335,H1,1,2280,2022-12-24,2022/23,"[30.955904006958008, -12.690567016601562]"
608,OQ764334,H1,6,1410,2022-12-20,2022/23,"[16.619638442993164, 20.390247344970703]"
609,OQ764333,H1,8,838,2022-12-20,2022/23,"[3.8944180011749268, 19.535917282104492]"
610,OQ764332,H1,7,982,2022-12-20,2022/23,"[-1.041310429573059, 26.515764236450195]"
611,OQ764331,H1,5,1497,2022-12-20,2022/23,"[32.96422576904297, 34.17352294921875]"
612,OQ764330,H1,4,1701,2022-12-20,2022/23,"[61.048072814941406, 38.354610443115234]"
613,OQ764329,H1,3,2151,2022-12-20,2022/23,"[91.0875015258789, 28.299945831298828]"
614,OQ764328,H1,2,2274,2022-12-20,2022/23,"[82.75020599365234, 18.9588623046875]"
615,OQ764327,H1,1,2280,2022-12-20,2022/23,"[30.9710636138916, -12.686185836791992]"
616,OQ764326,H1,6,1410,2022-12-25,2022/23,"[16.751510620117188, 20.495189666748047]"
617,OQ764325,H1,8,838,2022-12-25,2022/23,"[4.018588066101074, 19.660755157470703]"
618,OQ764324,H1,7,982,2022-12-25,2022/23,"[-1.019309163093567, 26.484506607055664]"
619,OQ764323,H1,5,1497,2022-12-25,2022/23,"[33.01530838012695, 34.25972366333008]"
620,OQ764322,H1,4,1701,2022-12-25,2022/23,"[61.33624267578125, 38.572059631347656]"
621,OQ764321,H1,3,2151,2022-12-25,2022/23,"[91.31320190429688, 28.266857147216797]"
622,OQ764320,H1,2,2274,2022-12-25,2022/23,"[83.27774810791016, 19.249956130981445]"
623,OQ764319,H1,1,2280,2022-12-25,2022/23,"[31.50172996520996, -12.782529830932617]"
624,OQ764318,H1,6,1410,2022-12-20,2022/23,"[16.741554260253906, 20.466838836669922]"
625,OQ764317,H1,8,838,2022-12-20,2022/23,"[3.994861125946045, 19.627397537231445]"
626,OQ764316,H1,7,982,2022-12-20,2022/23,"[-1.1030642986297607, 26.444095611572266]"
627,OQ764315,H1,5,1497,2022-12-20,2022/23,"[32.958595275878906, 34.19248962402344]"
628,OQ764314,H1,4,1701,2022-12-20,2022/23,"[61.555599212646484, 38.601253509521484]"
629,OQ764313,H1,3,2151,2022-12-20,2022/23,"[91.57736206054688, 28.433422088623047]"
630,OQ764312,H1,2,2274,2022-12-20,2022/23,"[83.2308349609375, 19.280126571655273]"
631,OQ764311,H1,1,2280,2022-12-20,2022/23,"[31.662864685058594, -12.78099536895752]"
632,OQ764310,H1,6,1410,2022-12-20,2022/23,"[16.681278228759766, 20.39814567565918]"
633,OQ764309,H1,8,838,2022-12-20,2022/23,"[3.994861125946045, 19.627397537231445]"
634,OQ764308,H1,7,982,2022-12-20,2022/23,"[-1.1030642986297607, 26.444095611572266]"
635,OQ764307,H1,5,1497,2022-12-20,2022/23,"[32.958595275878906, 34.19248962402344]"
636,OQ764306,H1,4,1701,2022-12-20,2022/23,"[61.555599212646484, 38.601253509521484]"
637,OQ764305,H1,3,2151,2022-12-20,2022/23,"[91.57736206054688, 28.433422088623047]"
638,OQ764304,H1,2,2274,2022-12-20,2022/23,"[83.2308349609375, 19.280126571655273]"
639,OQ764303,H1,1,2280,2022-12-20,2022/23,"[31.649375915527344, -12.77711296081543]"
640,OQ764302,H3,6,1410,2022-12-23,2022/23,"[10.348291397094727, 9.03904914855957]"
641,OQ764301,H3,8,838,2022-12-23,2022/23,"[6.543180465698242, 18.289501190185547]"
642,OQ764300,H3,7,982,2022-12-23,2022/23,"[-5.259020805358887, 19.578540802001953]"
643,OQ764299,H3,5,1497,2022-12-23,2022/23,"[42.537574768066406, 37.2395133972168]"
644,OQ764298,H3,4,1701,2022-12-23,2022/23,"[37.582977294921875, 16.860090255737305]"
645,OQ764297,H3,3,2151,2022-12-23,2022/23,"[89.59473419189453, 34.10087203979492]"
646,OQ764296,H3,2,2274,2022-12-23,2022/23,"[62.93250274658203, 11.519179344177246]"
647,OQ764295,H3,1,2280,2022-12-23,2022/23,"[21.28211784362793, -12.127643585205078]"
648,OQ764294,H3,6,1410,2022-12-19,2022/23,"[10.348291397094727, 9.03904914855957]"
649,OQ764293,H3,8,838,2022-12-19,2022/23,"[6.47926139831543, 18.2268123626709]"
650,OQ764292,H3,7,982,2022-12-19,2022/23,"[-5.259020805358887, 19.578540802001953]"
651,OQ764291,H3,5,1497,2022-12-19,2022/23,"[42.537574768066406, 37.2395133972168]"
652,OQ764290,H3,4,1701,2022-12-19,2022/23,"[37.582977294921875, 16.860090255737305]"
653,OQ764289,H3,3,2151,2022-12-19,2022/23,"[89.59473419189453, 34.10087203979492]"
654,OQ764288,H3,2,2274,2022-12-19,2022/23,"[62.93250274658203, 11.519179344177246]"
655,OQ764287,H3,1,2280,2022-12-19,2022/23,"[21.240846633911133, -12.118993759155273]"
656,OQ764286,H3,6,1410,2023-01-20,2022/23,"[10.348291397094727, 9.03904914855957]"
657,OQ764285,H3,8,838,2023-01-20,2022/23,"[6.555203914642334, 18.303844451904297]"
658,OQ764284,H3,7,982,2023-01-20,2022/23,"[-5.259020805358887, 19.578540802001953]"
659,OQ764283,H3,5,1497,2023-01-20,2022/23,"[42.6555290222168, 37.35126876831055]"
660,OQ764282,H3,4,1701,2023-01-20,2022/23,"[37.50281524658203, 16.844093322753906]"
661,OQ764281,H3,3,2151,2023-01-20,2022/23,"[89.59473419189453, 34.10087203979492]"
662,OQ764280,H3,2,2274,2023-01-20,2022/23,"[62.93250274658203, 11.519179344177246]"
663,OQ764279,H3,1,2280,2023-01-20,2022/23,"[21.28684425354004, -12.116776466369629]"
664,OQ764278,H3,6,1410,2023-01-09,2022/23,"[10.411026000976562, 9.079268455505371]"
665,OQ764277,H3,8,838,2023-01-09,2022/23,"[6.543180465698242, 18.289501190185547]"
666,OQ764276,H3,7,982,2023-01-09,2022/23,"[-5.259020805358887, 19.578540802001953]"
667,OQ764275,H3,5,1497,2023-01-09,2022/23,"[42.6555290222168, 37.35126876831055]"
668,OQ764274,H3,4,1701,2023-01-09,2022/23,"[37.582977294921875, 16.860090255737305]"
669,OQ764273,H3,3,2151,2023-01-09,2022/23,"[89.59473419189453, 34.10087203979492]"
670,OQ764272,H3,2,2274,2023-01-09,2022/23,"[62.93250274658203, 11.519179344177246]"
671,OQ764271,H3,1,2280,2023-01-09,2022/23,"[21.274097442626953, -12.120248794555664]"
672,OQ764270,H3,6,1410,2022-12-31,2022/23,"[10.348291397094727, 9.03904914855957]"
673,OQ764269,H3,8,838,2022-12-31,2022/23,"[6.543180465698242, 18.289501190185547]"
674,OQ764268,H3,7,982,2022-12-31,2022/23,"[-5.259020805358887, 19.578540802001953]"
675,OQ764267,H3,5,1497,2022-12-31,2022/23,"[42.444984436035156, 37.19663619995117]"
676,OQ764266,H3,4,1701,2022-12-31,2022/23,"[37.582977294921875, 16.860090255737305]"
677,OQ764265,H3,3,2151,2022-12-31,2022/23,"[89.59473419189453, 34.10087203979492]"
678,OQ764264,H3,2,2274,2022-12-31,2022/23,"[62.93250274658203, 11.519179344177246]"
679,OQ764263,H3,1,2280,2022-12-31,2022/23,"[21.30996322631836, -12.130813598632812]"
680,OQ764262,H3,6,1410,2022-12-27,2022/23,"[10.348291397094727, 9.03904914855957]"
681,OQ764261,H3,8,838,2022-12-27,2022/23,"[6.47926139831543, 18.2268123626709]"
682,OQ764260,H3,7,982,2022-12-27,2022/23,"[-5.259020805358887, 19.578540802001953]"
683,OQ764259,H3,5,1497,2022-12-27,2022/23,"[42.537574768066406, 37.2395133972168]"
684,OQ764258,H3,4,1701,2022-12-27,2022/23,"[37.582977294921875, 16.860090255737305]"
685,OQ764257,H3,3,2151,2022-12-27,2022/23,"[89.59473419189453, 34.10087203979492]"
686,OQ764256,H3,2,2274,2022-12-27,2022/23,"[62.93250274658203, 11.519179344177246]"
687,OQ764255,H3,1,2280,2022-12-27,2022/23,"[21.28211784362793, -12.127643585205078]"
688,OQ764254,H3,6,1410,2022-12-18,2022/23,"[10.348291397094727, 9.03904914855957]"
689,OQ764253,H3,8,838,2022-12-18,2022/23,"[6.543180465698242, 18.289501190185547]"
690,OQ764252,H3,7,982,2022-12-18,2022/23,"[-5.259020805358887, 19.578540802001953]"
691,OQ764251,H3,5,1497,2022-12-18,2022/23,"[42.537574768066406, 37.2395133972168]"
692,OQ764250,H3,4,1701,2022-12-18,2022/23,"[37.582977294921875, 16.860090255737305]"
693,OQ764249,H3,3,2151,2022-12-18,2022/23,"[89.59473419189453, 34.10087203979492]"
694,OQ764248,H3,2,2274,2022-12-18,2022/23,"[62.93250274658203, 11.519179344177246]"
695,OQ764247,H3,1,2280,2022-12-18,2022/23,"[21.28211784362793, -12.127643585205078]"
696,OQ764242,H3,6,1410,2022-12-11,2022/23,"[10.460445404052734, 9.15129280090332]"
697,OQ764241,H3,6,1410,2022-12-09,2022/23,"[10.472833633422852, 9.133872985839844]"
698,OQ764240,H3,6,1410,2022-12-08,2022/23,"[10.246705055236816, 8.997749328613281]"
699,OQ764237,H3,6,1410,2022-12-05,2022/23,"[10.336886405944824, 9.023714065551758]"
700,OQ764236,H3,6,1410,2022-12-04,2022/23,"[10.344937324523926, 9.060302734375]"
701,OQ764235,H3,8,838,2022-12-11,2022/23,"[6.53514289855957, 18.1568660736084]"
702,OQ764234,H3,8,838,2022-12-09,2022/23,"[6.557538986206055, 18.18182945251465]"
703,OQ764233,H3,8,838,2022-12-08,2022/23,"[6.635614395141602, 18.305681228637695]"
704,OQ764231,H3,8,838,2022-12-05,2022/23,"[6.558371543884277, 18.092166900634766]"
705,OQ764230,H3,8,838,2022-12-04,2022/23,"[6.427187442779541, 18.19302749633789]"
706,OQ764225,H3,7,982,2022-12-11,2022/23,"[-5.210555553436279, 19.34560203552246]"
707,OQ764223,H3,7,982,2022-12-09,2022/23,"[-5.219050884246826, 19.369083404541016]"
708,OQ764222,H3,7,982,2022-12-08,2022/23,"[-5.219050884246826, 19.369083404541016]"
709,OQ764219,H3,7,982,2022-12-05,2022/23,"[-5.218576431274414, 19.386856079101562]"
710,OQ764218,H3,7,982,2022-12-04,2022/23,"[-5.202609062194824, 19.444303512573242]"
711,OQ764213,H3,5,1497,2022-12-11,2022/23,"[41.97466278076172, 37.02455139160156]"
712,OQ764212,H3,5,1497,2022-12-09,2022/23,"[41.859798431396484, 36.969810485839844]"
713,OQ764211,H3,5,1497,2022-12-08,2022/23,"[41.999244689941406, 37.0436897277832]"
714,OQ764209,H3,5,1497,2022-12-05,2022/23,"[42.130210876464844, 37.21767044067383]"
715,OQ764208,H3,5,1497,2022-12-04,2022/23,"[42.18464660644531, 37.199974060058594]"
716,OQ764203,H3,4,1701,2022-12-11,2022/23,"[36.76945114135742, 16.7369441986084]"
717,OQ764202,H3,4,1701,2022-12-09,2022/23,"[36.830318450927734, 16.83941078186035]"
718,OQ764201,H3,4,1701,2022-12-08,2022/23,"[36.76945114135742, 16.7369441986084]"
719,OQ764198,H3,4,1701,2022-12-05,2022/23,"[37.10281753540039, 17.013124465942383]"
720,OQ764197,H3,4,1701,2022-12-04,2022/23,"[37.276397705078125, 17.156312942504883]"
721,OQ764192,H3,3,2151,2022-12-11,2022/23,"[88.8510971069336, 33.865413665771484]"
722,OQ764191,H3,3,2151,2022-12-09,2022/23,"[88.78315734863281, 33.78533172607422]"
723,OQ764190,H3,3,2151,2022-12-08,2022/23,"[88.97948455810547, 33.919742584228516]"
724,OQ764188,H3,3,2151,2022-12-05,2022/23,"[89.22844696044922, 34.08613586425781]"
725,OQ764187,H3,3,2151,2022-12-04,2022/23,"[88.37838745117188, 33.68037033081055]"
726,OQ764183,H3,2,2151,2022-12-11,2022/23,"[11.075943946838379, 0.4864771366119385]"
727,OQ764182,H3,2,2274,2022-12-09,2022/23,"[62.830284118652344, 11.429522514343262]"
728,OQ764181,H3,2,2274,2022-12-08,2022/23,"[62.743473052978516, 11.43149471282959]"
729,OQ764178,H3,2,2274,2022-12-05,2022/23,"[62.64971160888672, 11.439393043518066]"
730,OQ764177,H3,2,2274,2022-12-04,2022/23,"[62.481510162353516, 11.38527774810791]"
731,OQ764176,H3,1,2280,2022-12-11,2022/23,"[21.38855743408203, -12.182891845703125]"
732,OQ764175,H3,1,2280,2022-12-09,2022/23,"[21.439159393310547, -12.19068717956543]"
733,OQ764174,H3,1,2280,2022-12-08,2022/23,"[21.276926040649414, -12.145401000976562]"
734,OQ764172,H3,1,2280,2022-12-05,2022/23,"[21.25324821472168, -12.108128547668457]"
735,OQ764171,H3,1,2280,2022-12-04,2022/23,"[21.46622085571289, -12.195022583007812]"
736,OQ764165,H3,6,1410,2022-12-04,2022/23,"[10.259651184082031, 9.02562141418457]"
737,OQ764163,H3,6,1410,2022-12-14,2022/23,"[10.421415328979492, 9.105703353881836]"
738,OQ764161,H3,8,838,2022-12-04,2022/23,"[6.363049507141113, 18.10893440246582]"
739,OQ764160,H3,8,838,2022-12-14,2022/23,"[6.573204040527344, 18.22859764099121]"
740,OQ764156,H3,7,982,2022-12-04,2022/23,"[-5.2298784255981445, 19.367000579833984]"
741,OQ764154,H3,7,982,2022-12-14,2022/23,"[-5.219050884246826, 19.369083404541016]"
742,OQ764149,H3,5,1497,2022-12-04,2022/23,"[42.208621978759766, 37.21725845336914]"
743,OQ764148,H3,5,1497,2022-12-14,2022/23,"[41.859798431396484, 36.969810485839844]"
744,OQ764146,H3,4,1701,2022-12-04,2022/23,"[37.254676818847656, 17.013946533203125]"
745,OQ764144,H3,4,1701,2022-12-14,2022/23,"[36.93115234375, 16.81914710998535]"
746,OQ764140,H3,3,2151,2022-12-04,2022/23,"[88.34869384765625, 33.61093521118164]"
747,OQ764138,H3,3,2151,2022-12-14,2022/23,"[88.84479522705078, 33.80495071411133]"
748,OQ764134,H3,2,2274,2022-12-04,2022/23,"[62.481510162353516, 11.38527774810791]"
749,OQ764132,H3,2,2274,2022-12-14,2022/23,"[62.749568939208984, 11.405552864074707]"
750,OQ764130,H3,1,2280,2022-12-04,2022/23,"[21.390668869018555, -12.171534538269043]"
751,OQ764128,H3,1,2280,2022-12-14,2022/23,"[21.454288482666016, -12.189885139465332]"
752,OQ764122,H3,6,1410,2022-12-15,2022/23,"[10.478904724121094, 9.074843406677246]"
753,OQ764121,H3,8,838,2022-12-15,2022/23,"[6.4389848709106445, 18.126636505126953]"
754,OQ764118,H3,7,982,2022-12-15,2022/23,"[-5.231386184692383, 19.35828971862793]"
755,OQ764115,H3,5,1497,2022-12-15,2022/23,"[42.030723571777344, 37.05939483642578]"
756,OQ764113,H3,4,1701,2022-12-15,2022/23,"[36.79880142211914, 16.58776092529297]"
757,OQ764110,H3,3,2151,2022-12-15,2022/23,"[88.73214721679688, 33.53082275390625]"
758,OQ764108,H3,2,2274,2022-12-15,2022/23,"[62.91269302368164, 11.48608112335205]"
759,OQ764107,H3,1,2280,2022-12-15,2022/23,"[21.351030349731445, -12.170878410339355]"
760,OQ764104,H1,6,1410,2022-12-26,2022/23,"[16.619638442993164, 20.390247344970703]"
761,OQ764103,H3,6,1410,2023-01-01,2022/23,"[10.554585456848145, 9.180895805358887]"
762,OQ764102,H3,6,1410,2023-01-01,2022/23,"[10.554585456848145, 9.180895805358887]"
763,OQ764101,H3,6,1410,2022-12-29,2022/23,"[10.554585456848145, 9.180895805358887]"
764,OQ764100,H3,8,838,2023-01-01,2022/23,"[6.505451679229736, 18.172637939453125]"
765,OQ764099,H3,8,838,2023-01-01,2022/23,"[6.505451679229736, 18.172637939453125]"
766,OQ764098,H3,8,838,2022-12-29,2022/23,"[6.505451679229736, 18.172637939453125]"
767,OQ764097,H1,8,838,2022-12-26,2022/23,"[3.8944180011749268, 19.535917282104492]"
768,OQ764096,H3,7,982,2023-01-01,2022/23,"[-5.212738037109375, 19.368534088134766]"
769,OQ764095,H3,7,982,2023-01-01,2022/23,"[-5.212738037109375, 19.368534088134766]"
770,OQ764094,H3,7,982,2022-12-29,2022/23,"[-5.212738037109375, 19.368534088134766]"
771,OQ764093,H1,7,982,2022-12-26,2022/23,"[-1.041310429573059, 26.515764236450195]"
772,OQ764092,H3,5,1497,2023-01-01,2022/23,"[42.00674057006836, 37.0421028137207]"
773,OQ764091,H3,5,1497,2023-01-01,2022/23,"[42.030723571777344, 37.05939483642578]"
774,OQ764090,H3,5,1497,2022-12-29,2022/23,"[42.030723571777344, 37.05939483642578]"
775,OQ764089,H1,5,1497,2022-12-26,2022/23,"[32.92864990234375, 34.124088287353516]"
776,OQ764088,H3,4,1701,2023-01-01,2022/23,"[36.78132629394531, 16.58969497680664]"
777,OQ764087,H3,4,1701,2023-01-01,2022/23,"[36.69178771972656, 16.573448181152344]"
778,OQ764086,H3,4,1701,2022-12-29,2022/23,"[36.69178771972656, 16.573448181152344]"
779,OQ764085,H1,4,1701,2022-12-26,2022/23,"[61.0311279296875, 38.30644226074219]"
780,OQ764084,H3,3,2151,2023-01-01,2022/23,"[89.12367248535156, 33.62986755371094]"
781,OQ764083,H3,3,2151,2023-01-01,2022/23,"[89.12367248535156, 33.62986755371094]"
782,OQ764082,H3,3,2151,2022-12-29,2022/23,"[89.12367248535156, 33.62986755371094]"
783,OQ764081,H1,3,1928,2022-12-26,2022/23,"[9.861126899719238, 0.7296929359436035]"
784,OQ764080,H3,2,2274,2023-01-01,2022/23,"[62.86936569213867, 11.359060287475586]"
785,OQ764079,H3,2,2274,2023-01-01,2022/23,"[62.69904708862305, 11.325287818908691]"
786,OQ764078,H3,2,2274,2022-12-29,2022/23,"[62.86936569213867, 11.359060287475586]"
787,OQ764077,H1,2,2274,2022-12-26,2022/23,"[82.63301849365234, 18.907794952392578]"
788,OQ764076,H3,1,2280,2023-01-01,2022/23,"[21.36564064025879, -12.1791353225708]"
789,OQ764075,H3,1,2280,2023-01-01,2022/23,"[21.36564064025879, -12.1791353225708]"
790,OQ764074,H3,1,2280,2022-12-29,2022/23,"[21.36564064025879, -12.1791353225708]"
791,OQ764073,H1,1,2280,2022-12-26,2022/23,"[30.955904006958008, -12.690567016601562]"
792,OQ764068,H1,6,1410,2022-12-25,2022/23,"[16.751510620117188, 20.495189666748047]"
793,OQ764066,H1,8,838,2022-12-25,2022/23,"[4.018588066101074, 19.660755157470703]"
794,OQ764065,H1,7,982,2022-12-25,2022/23,"[-1.019309163093567, 26.484506607055664]"
795,OQ764064,H1,5,1497,2022-12-25,2022/23,"[32.98518371582031, 34.26395797729492]"
796,OQ764063,H1,4,1701,2022-12-25,2022/23,"[61.33624267578125, 38.572059631347656]"
797,OQ764062,H1,3,2151,2022-12-25,2022/23,"[91.31320190429688, 28.266857147216797]"
798,OQ764061,H1,2,2244,2022-12-25,2022/23,"[11.691548347473145, 0.421334445476532]"
799,OQ764060,H1,1,2280,2022-12-25,2022/23,"[31.50172996520996, -12.782529830932617]"
800,OQ764056,H1,6,1410,2023-01-01,2022/23,"[16.677114486694336, 20.37867546081543]"
801,OQ764055,H3,6,1410,2022-12-29,2022/23,"[10.398299217224121, 9.101824760437012]"
802,OQ764054,H3,6,1410,2022-12-29,2022/23,"[10.421415328979492, 9.105703353881836]"
803,OQ764053,H3,6,1410,2022-12-23,2022/23,"[10.573490142822266, 9.135172843933105]"
804,OQ764052,H3,6,1410,2022-12-21,2022/23,"[10.377204895019531, 9.067815780639648]"
805,OQ764051,H3,8,838,2022-12-29,2022/23,"[6.465218544006348, 18.165672302246094]"
806,OQ764050,H3,8,838,2022-12-29,2022/23,"[6.571868896484375, 18.22602653503418]"
807,OQ764049,H3,8,838,2022-12-23,2022/23,"[6.505970478057861, 18.18943977355957]"
808,OQ764048,H3,8,838,2022-12-21,2022/23,"[6.571868896484375, 18.22602653503418]"
809,OQ764044,H1,8,838,2023-01-01,2022/23,"[3.994861125946045, 19.627397537231445]"
810,OQ764043,H3,7,982,2022-12-29,2022/23,"[-5.2450032234191895, 19.590412139892578]"
811,OQ764042,H3,7,982,2022-12-29,2022/23,"[-5.231386184692383, 19.35828971862793]"
812,OQ764041,H3,7,982,2022-12-23,2022/23,"[-5.231386184692383, 19.35828971862793]"
813,OQ764040,H3,7,982,2022-12-21,2022/23,"[-5.223161220550537, 19.37093162536621]"
814,OQ764036,H1,7,982,2023-01-01,2022/23,"[-1.044480800628662, 26.4848690032959]"
815,OQ764035,H3,5,1497,2022-12-29,2022/23,"[42.537574768066406, 37.2395133972168]"
816,OQ764034,H3,5,1497,2022-12-29,2022/23,"[41.93585205078125, 37.012969970703125]"
817,OQ764033,H3,5,1497,2022-12-23,2022/23,"[41.866485595703125, 36.95472717285156]"
818,OQ764032,H3,5,1497,2022-12-21,2022/23,"[42.00674057006836, 37.0421028137207]"
819,OQ764029,H1,5,1497,2023-01-01,2022/23,"[32.80259323120117, 34.17570877075195]"
820,OQ764028,H3,4,1701,2022-12-29,2022/23,"[37.475311279296875, 16.845003128051758]"
821,OQ764027,H3,4,1701,2022-12-29,2022/23,"[36.772518157958984, 16.82700538635254]"
822,OQ764026,H3,4,1701,2022-12-23,2022/23,"[36.78830337524414, 16.663667678833008]"
823,OQ764025,H3,4,1701,2022-12-21,2022/23,"[36.91035079956055, 16.773555755615234]"
824,OQ764021,H1,4,1701,2023-01-01,2022/23,"[61.517757415771484, 38.679893493652344]"
825,OQ764020,H3,3,2142,2022-12-29,2022/23,"[89.2903060913086, 34.10166549682617]"
826,OQ764019,H3,3,2151,2022-12-29,2022/23,"[89.45221710205078, 33.86022186279297]"
827,OQ764018,H3,3,2151,2022-12-23,2022/23,"[88.87232208251953, 33.599308013916016]"
828,OQ764017,H3,3,2151,2022-12-21,2022/23,"[88.96004486083984, 33.64519119262695]"
829,OQ764014,H1,3,2151,2023-01-01,2022/23,"[91.5509262084961, 28.415258407592773]"
830,OQ764013,H3,2,2201,2022-12-29,2022/23,"[60.878028869628906, 11.402688980102539]"
831,OQ764012,H3,2,2274,2022-12-29,2022/23,"[62.980224609375, 11.513352394104004]"
832,OQ764011,H3,2,2274,2022-12-23,2022/23,"[62.91269302368164, 11.48608112335205]"
833,OQ764010,H3,2,2274,2022-12-21,2022/23,"[63.0588264465332, 11.541743278503418]"
834,OQ764009,H1,2,2105,2023-01-01,2022/23,"[10.527560234069824, 0.5758752822875977]"
835,OQ764008,H3,1,2279,2022-12-29,2022/23,"[21.29005241394043, -12.1303071975708]"
836,OQ764007,H3,1,2280,2022-12-29,2022/23,"[21.38855743408203, -12.182891845703125]"
837,OQ764006,H3,1,2280,2022-12-23,2022/23,"[21.341230392456055, -12.165968894958496]"
838,OQ764005,H3,1,2280,2022-12-21,2022/23,"[21.357664108276367, -12.169509887695312]"
839,OQ764002,H1,1,2280,2023-01-01,2022/23,"[31.625621795654297, -12.747367858886719]"
840,OQ763999,H1,6,1410,2022-12-26,2022/23,"[16.741554260253906, 20.466838836669922]"
841,OQ763997,H1,6,1410,2022-12-24,2022/23,"[16.86444664001465, 20.5817928314209]"
842,OQ763994,H1,8,838,2022-12-26,2022/23,"[3.994861125946045, 19.627397537231445]"
843,OQ763992,H1,8,838,2022-12-24,2022/23,"[3.937983512878418, 19.450153350830078]"
844,OQ763987,H1,7,982,2022-12-26,2022/23,"[-1.1030642986297607, 26.444095611572266]"
845,OQ763985,H1,7,982,2022-12-24,2022/23,"[-1.044480800628662, 26.4848690032959]"
846,OQ763982,H1,5,1464,2022-12-26,2022/23,"[31.992755889892578, 33.42013931274414]"
847,OQ763981,H1,5,1497,2022-12-24,2022/23,"[32.842918395996094, 34.18474197387695]"
848,OQ763977,H1,4,1701,2022-12-26,2022/23,"[61.555599212646484, 38.601253509521484]"
849,OQ763975,H1,4,1701,2022-12-24,2022/23,"[61.72990036010742, 38.82128143310547]"
850,OQ763972,H1,3,2151,2022-12-26,2022/23,"[91.57736206054688, 28.433422088623047]"
851,OQ763971,H1,3,2151,2022-12-24,2022/23,"[91.27713012695312, 28.236820220947266]"
852,OQ763968,H1,2,2274,2022-12-26,2022/23,"[79.43556213378906, 18.5670223236084]"
853,OQ763967,H1,2,2273,2022-12-24,2022/23,"[78.99535369873047, 18.417247772216797]"
